Giorno, risorseRimaste, nonMalatiGov, asintomaticiGov, guaritiGov, nonMalatiSim, asintomaticiSim, guaritiSim, nuovi_asintGov, nuovi_guaritiGov, nuovi_asintSim, nuovi_guaritiSim, sintomatici, morti, nuovi_sint, nuovi_morti, tamponi
1, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 8239, 206, 0, 0, 205, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
14, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 8239, 206, 0, 0, 204, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 8239, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
18, 8226, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
19, 8213, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
20, 8200, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
21, 8187, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
22, 8174, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
23, 8161, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
24, 8148, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
25, 8135, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
26, 8122, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
27, 8109, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
28, 8096, 205, 0, 0, 204, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
